ID,bebidas,carnes,cereales,com_rapida,dulces,frutas,lacteos,leguminosas,miscelaneos,pescado,prod_maiz,sopas,verduras,Edad,Sexo,Entidad
100101903,11.95,4.0,8.83,2.0,5.5,2.0,3.0,1.75,3.0,0.0,6.0,0.0,5.0,21.0,1.0,1.0
100102102,18.0,9.5,7.25,3.0,9.0,10.0,7.0,3.0,3.0,6.0,4.0,6.0,17.0,48.0,1.0,1.0
100103003,1.0,5.5,6.0,1.0,1.0,5.5,0.75,0.0,0.0,0.0,1.0,3.0,5.0,20.0,2.0,1.0
100103102,6.0,7.0,6.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,1.0,6.0,60.0,2.0,1.0
100110104,5.0,4.0,1.5,1.0,2.0,3.0,1.0,1.25,0.0,0.0,0.0,1.0,11.0,18.0,2.0,1.0
100110503,9.0,8.5,3.5,0.0,2.0,1.5,2.0,2.0,0.0,0.0,5.0,3.0,9.75,42.0,2.0,1.0
100110801,9.5,12.5,2.0,1.0,0.0,10.0,1.0,0.0,2.0,0.0,3.0,4.0,11.0,51.0,1.0,1.0
100112102,6.0,9.0,1.0,1.0,5.0,3.0,4.5,2.0,0.0,0.0,4.0,3.0,2.0,38.0,2.0,1.0
100123701,19.0,4.0,2.0,3.0,0.0,1.5,5.16,1.0,0.0,0.0,0.0,0.0,5.0,22.0,1.0,1.0
100123803,7.0,8.0,3.0,7.0,12.0,2.0,11.25,2.0,0.0,0.0,3.0,3.0,9.0,17.0,2.0,1.0
100132304,2.0,9.0,4.25,0.0,0.0,4.0,3.0,1.0,0.0,2.0,2.0,2.0,9.75,16.0,1.0,1.0
100133601,15.17,6.0,2.0,2.0,10.2,4.0,2.0,3.0,1.0,0.0,3.0,8.0,2.5,,,
100134103,15.25,4.0,1.0,3.0,1.5,5.0,2.0,1.0,0.0,0.0,4.5,0.0,1.5,30.0,2.0,1.0
100134202,5.5,6.0,3.5,1.0,4.0,5.5,0.5,1.5,1.5,1.0,3.75,2.0,14.75,46.0,2.0,1.0
100201001,8.0,3.0,3.0,0.0,1.0,4.75,1.5,2.0,0.0,2.0,4.0,1.0,9.0,49.0,1.0,1.0
100201005,4.75,8.0,3.0,0.0,3.0,1.0,8.0,1.25,2.0,0.0,0.0,1.0,3.0,13.0,2.0,1.0
200100303,11.03,3.0,10.5,4.0,0.0,9.0,4.5,1.66,2.0,0.0,5.0,6.0,13.33,41.0,1.0,2.0
200100401,7.25,2.5,7.0,2.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,3.0,11.0,60.0,2.0,2.0
200101801,6.25,5.0,1.5,4.0,1.0,1.0,4.5,2.0,2.0,1.0,4.0,3.0,4.0,56.0,1.0,2.0
200102702,4.5,3.0,1.26,0.0,4.0,3.66,3.66,3.0,1.0,0.0,4.0,2.0,8.0,54.0,2.0,2.0
200204103,17.5,6.25,4.5,5.0,7.5,2.0,2.0,2.5,0.0,0.0,0.0,3.0,2.0,32.0,1.0,2.0
200204803,7.0,3.5,0.5,2.0,4.0,0.0,3.0,2.0,2.5,0.0,3.0,1.0,9.25,19.0,2.0,2.0
200204905,2.0,6.0,10.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,6.83,14.0,2.0,2.0
200205505,6.33,7.0,7.0,0.0,0.0,3.0,1.5,2.0,0.0,0.0,0.0,1.0,7.5,18.0,1.0,2.0
200206703,2.0,11.0,4.5,4.0,2.0,2.0,0.0,1.5,1.5,2.0,3.0,3.0,4.0,18.0,1.0,2.0
200212703,7.66,9.0,3.75,0.0,1.0,1.0,3.0,0.66,3.0,4.0,3.0,0.0,10.0,18.0,2.0,2.0
200212902,5.5,6.0,3.25,0.0,0.0,0.0,0.75,1.5,0.0,0.0,7.0,1.0,2.0,26.0,2.0,2.0
200213101,2.87,4.0,0.0,2.0,1.5,4.0,2.0,2.0,0.25,0.0,3.0,0.0,7.5,80.0,1.0,2.0
200401404,16.47,6.0,9.76,4.0,10.5,12.67,14.0,5.0,2.0,2.0,2.0,3.0,33.83,36.0,2.0,2.0
200402804,13.0,6.75,7.5,4.0,6.5,8.75,0.0,1.0,5.49,5.0,4.0,3.5,9.75,24.0,1.0,2.0
200403303,5.0,7.0,11.0,1.0,2.0,3.0,7.0,2.64,2.0,0.0,5.0,2.0,8.66,18.0,1.0,2.0
200409701,5.75,5.0,6.25,0.0,11.0,3.0,1.25,4.0,1.0,0.0,1.75,0.5,4.25,27.0,2.0,2.0
200410201,17.869999999999997,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,7.0,11.25,,,
200410203,4.0,3.0,7.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,4.0,15.0,1.0,2.0
200413901,18.07,9.0,2.0,1.0,9.8,5.5,7.0,5.0,6.0,1.0,6.0,2.0,7.0,30.0,1.0,2.0
